description;name;snaptoroads;geojson
;VPM4071;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46314,-34.6461],[-58.46476,-34.64798],[-58.46522,-34.64846],[-58.46567,-34.6488],[-58.46614,-34.64908],[-58.46669,-34.6493],[-58.46752,-34.64939],[-58.46829,-34.64941],[-58.46985,-34.64939],[-58.47134,-34.64929],[-58.47258,-34.64919],[-58.47337,-34.64912],[-58.47403,-34.64904],[-58.47483,-34.64893],[-58.47543,-34.6488],[-58.47633,-34.64835],[-58.47724,-34.64789],[-58.47786,-34.64774]]]}"
;VPM4072;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47804,-34.64827],[-58.47575,-34.64888],[-58.47425,-34.64921],[-58.47258,-34.64937],[-58.46954,-34.64951],[-58.46842,-34.64955],[-58.46656,-34.64951],[-58.46569,-34.64941],[-58.46486,-34.64913],[-58.46412,-34.64866],[-58.46378,-34.64829],[-58.4635,-34.64787],[-58.46251,-34.64555]]]}"
;VPM4081;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4581,-34.63991],[-58.46081,-34.6419],[-58.46134,-34.64246],[-58.46195,-34.64337],[-58.46236,-34.64437],[-58.46302,-34.64608]]]}"
;VPM4082;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46467,-34.64872],[-58.46396,-34.64798],[-58.46371,-34.64766],[-58.46349,-34.64731],[-58.46311,-34.64661],[-58.46281,-34.64602],[-58.46252,-34.64541],[-58.46232,-34.64487],[-58.46207,-34.64417],[-58.46187,-34.64372],[-58.4618,-34.64354],[-58.4617,-34.64336],[-58.46137,-34.64287],[-58.46111,-34.64254],[-58.46082,-34.64222],[-58.46026,-34.64177],[-58.45801,-34.64007]]]}"
;VPM4091;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45199,-34.63634],[-58.45281,-34.63649],[-58.45342,-34.63669],[-58.45499,-34.63755],[-58.45616,-34.63834],[-58.45805,-34.63988]]]}"
;VPM4092;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45797,-34.64004],[-58.45717,-34.63938],[-58.45637,-34.63871],[-58.45481,-34.63765],[-58.4541,-34.63721],[-58.45317,-34.63676],[-58.4527,-34.63663],[-58.45235,-34.63655],[-58.45195,-34.63649]]]}"
;VPM4101;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44285,-34.63319],[-58.44613,-34.63541],[-58.44695,-34.63589],[-58.44745,-34.63608],[-58.44796,-34.63623],[-58.44888,-34.63635],[-58.45188,-34.63633]]]}"
;VPM4102;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45187,-34.63648],[-58.45071,-34.63647],[-58.44985,-34.63653],[-58.44892,-34.6365],[-58.44852,-34.63648],[-58.44815,-34.63642],[-58.44728,-34.6362],[-58.44678,-34.636],[-58.44636,-34.63576],[-58.44273,-34.63332]]]}"
;VPM4111;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42635,-34.62879],[-58.43037,-34.62933],[-58.43589,-34.63017],[-58.43761,-34.63045],[-58.43833,-34.63066],[-58.43907,-34.63097],[-58.44281,-34.63316]]]}"
;VPM4112;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4427,-34.6333],[-58.43938,-34.63134],[-58.43885,-34.63105],[-58.43804,-34.63073],[-58.43689,-34.63048],[-58.42964,-34.62937],[-58.42636,-34.62897]]]}"
